lon lat x
345.6 -9.94 0.92
352.8 -9.94 1.06
0 9.94 -0.97
7.2 9.94 -0.74
14.4 9.94 0.55
21.6 9.94 1.06
28.8 9.94 0.49
36 9.94 0.4
43.2 9.94 0.58
50.4 9.94 0.8
57.6 9.94 0.42
64.8 9.94 0.49
72 9.94 0.09
79.2 9.94 -0.77
86.4 9.94 -0.14
93.6 9.94 0.32
100.8 9.94 0.51
108 9.94 0.33
115.2 9.94 -0.41
122.4 9.94 -0.54
129.6 9.94 -1.31
136.8 9.94 -1.8
144 9.94 -1.15
151.2 9.94 -1.03
158.4 9.94 -0.52
165.6 9.94 0.21
172.8 9.94 -0.23
180 9.94 -1.04
187.2 9.94 -0.96
194.4 9.94 0.45
201.6 9.94 0.76
208.8 9.94 0.67
216 9.94 0
223.2 9.94 -0.18
230.4 9.94 -1.21
237.6 9.94 -2.15
244.8 9.94 -1.8
252 9.94 -1.07
259.2 9.94 -0.86
266.4 9.94 -0.07
273.6 9.94 0.7
280.8 9.94 0.02
288 9.94 0.29
295.2 9.94 -0.52
302.4 9.94 -1.16
309.6 9.94 -1.43
316.8 9.94 -0.76
324 9.94 -0.77
331.2 9.94 -0.18
338.4 9.94 -0.19
345.6 9.94 0.07
352.8 9.94 -0.98
0 29.83 -0.26
7.2 29.83 -1.29
14.4 29.83 -1.6
21.6 29.83 -1.36
28.8 29.83 -0.45
36 29.83 -1.25
43.2 29.83 -0.23
50.4 29.83 0.02
57.6 29.83 -0.03
64.8 29.83 -0.01
72 29.83 -0.61
79.2 29.83 -0.07
86.4 29.83 -1.3
93.6 29.83 -0.96
100.8 29.83 -0.91
108 29.83 -0.23
115.2 29.83 -0.35
122.4 29.83 -0.55
129.6 29.83 -0.73
136.8 29.83 -1.1
144 29.83 -0.98
151.2 29.83 -2
158.4 29.83 -1.52
165.6 29.83 -0.38
172.8 29.83 -0.47
180 29.83 -1.05
187.2 29.83 -1.1
194.4 29.83 -0.42
201.6 29.83 0.31
208.8 29.83 -0.81
216 29.83 -1
223.2 29.83 -0.81
230.4 29.83 -1.73
237.6 29.83 -0.49
244.8 29.83 -1.06
252 29.83 -1.21
259.2 29.83 -1.14
266.4 29.83 -1.29
273.6 29.83 -1.19
280.8 29.83 -0.06
288 29.83 -0.5
295.2 29.83 -1.08
302.4 29.83 -1.23
309.6 29.83 -0.77
316.8 29.83 -0.06
324 29.83 0.36
331.2 29.83 0.46
338.4 29.83 2.04
345.6 29.83 0.71
352.8 29.83 -0.41
0 49.72 -0.09
7.2 49.72 -0.64
14.4 49.72 -0.75
21.6 49.72 0.3
28.8 49.72 0
36 49.72 -0.45
43.2 49.72 -0.71
50.4 49.72 -0.87
57.6 49.72 -1.77
64.8 49.72 -1.6
72 49.72 -1.5
79.2 49.72 -2.23
86.4 49.72 -1.6
93.6 49.72 -1.93
100.8 49.72 -2.57
108 49.72 -2.29
115.2 49.72 -2.14
122.4 49.72 -1.17
129.6 49.72 -1.65
136.8 49.72 -2.11
144 49.72 -2.64
151.2 49.72 -2.49
158.4 49.72 -3.12
165.6 49.72 -2.82
172.8 49.72 -2.88
180 49.72 -3.42
187.2 49.72 -2.43
194.4 49.72 -2.05
201.6 49.72 -0.69
208.8 49.72 -0.85
216 49.72 -1.11
223.2 49.72 -1.06
230.4 49.72 -0.45
237.6 49.72 -0.29
244.8 49.72 -0.37
252 49.72 -0.29
259.2 49.72 -0.79
266.4 49.72 -0.38
273.6 49.72 -0.52
280.8 49.72 -0.21
288 49.72 -0.08
295.2 49.72 0.36
302.4 49.72 0.33
309.6 49.72 0.42
316.8 49.72 0.8
324 49.72 -0.04
331.2 49.72 -0.8
338.4 49.72 -0.39
345.6 49.72 0.07
352.8 49.72 0.76
0 69.61 -2.02
7.2 69.61 -2.71
14.4 69.61 -3.2
21.6 69.61 -2.85
28.8 69.61 -2.78
36 69.61 -3.04
43.2 69.61 -3.44
50.4 69.61 -3.21
57.6 69.61 -2.5
64.8 69.61 -2.62
72 69.61 -2.32
79.2 69.61 -1.91
86.4 69.61 -2.15
93.6 69.61 -1.73
100.8 69.61 -1.95
108 69.61 -1.21
115.2 69.61 -1.03
122.4 69.61 -1.48
129.6 69.61 -0.97
136.8 69.61 -1.68
144 69.61 -2.22
151.2 69.61 -2.6
158.4 69.61 -2.6
165.6 69.61 -2.59
172.8 69.61 -2.89
180 69.61 -2.77
187.2 69.61 -2.11
194.4 69.61 -1.76
201.6 69.61 -1.63
208.8 69.61 -1.83
216 69.61 -1.84
223.2 69.61 -1.72
230.4 69.61 -1.32
237.6 69.61 -0.96
244.8 69.61 -0.52
252 69.61 -0.49
259.2 69.61 -0.03
266.4 69.61 -0.15
273.6 69.61 0.17
280.8 69.61 0.29
288 69.61 0.41
295.2 69.61 0.15
302.4 69.61 0.19
309.6 69.61 0.63
316.8 69.61 0.27
324 69.61 0.02
331.2 69.61 0.45
338.4 69.61 -0.6
345.6 69.61 -1.2
352.8 69.61 -1.36
0 89.5 -1.8
7.2 89.5 -1.82
14.4 89.5 -1.79
21.6 89.5 -1.88
28.8 89.5 -1.83
36 89.5 -1.82
43.2 89.5 -1.83
50.4 89.5 -1.8
57.6 89.5 -1.83
64.8 89.5 -1.83
72 89.5 -1.77
79.2 89.5 -1.73
86.4 89.5 -1.64
93.6 89.5 -1.6
100.8 89.5 -1.54
108 89.5 -1.41
115.2 89.5 -1.39
122.4 89.5 -1.27
129.6 89.5 -1.26
136.8 89.5 -1.23
144 89.5 -1.08
151.2 89.5 -1.18
158.4 89.5 -1.09
165.6 89.5 -1.11
172.8 89.5 -1.14
180 89.5 -1.1
187.2 89.5 -1.16
194.4 89.5 -1.18
201.6 89.5 -1.09
208.8 89.5 -1.15
216 89.5 -1.24
223.2 89.5 -1.36
230.4 89.5 -1.47
237.6 89.5 -1.5
244.8 89.5 -1.57
252 89.5 -1.59
259.2 89.5 -1.54
266.4 89.5 -1.55
273.6 89.5 -1.59
280.8 89.5 -1.62
288 89.5 -1.68
295.2 89.5 -1.72
302.4 89.5 -1.73
309.6 89.5 -1.64
316.8 89.5 -1.71
324 89.5 -1.7
331.2 89.5 -1.66
338.4 89.5 -1.59
345.6 89.5 -1.71
352.8 89.5 -1.74
